author_key,display_name,authorChannelId,n_comments,cluster,avg_len,reply_share,mean_likes,sent_mean,sent_std,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,neutral,sample_comment
UC5gyYADQWIxEI7Ev1bwSA5g,@TellyMantraOfficial,UC5gyYADQWIxEI7Ev1bwSA5g,1,1,6.0,0.0,0.0,0.8885,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Aishwarya Was Astonishingly Gorgeous Please ❤
UC5lh5VfY-jb4SfitpY0PsSQ,@carolbenson6524,UC5lh5VfY-jb4SfitpY0PsSQ,1,3,40.0,0.0,0.0,0.8309,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stated earlier that I&#39;m 75 and started using this cream recently and I&#39;m so amazed at how my face looks so softer and younger...really didn&#39;t think this would work!  I just reordered more jars for the rest of the year!!!!!😅
UC5lqOlkEsdUMa3LE9-1Fszg,@PixelProwler-r4v,UC5lqOlkEsdUMa3LE9-1Fszg,1,1,5.0,0.0,1.0,0.5023,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,But I like brassy colours
UC65v_hGk8HMYNQMY_n7Bhsw,@manuelgutierrez9675,UC65v_hGk8HMYNQMY_n7Bhsw,1,2,6.0,0.0,1.0,0.6239,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,I got this also its amazing!
UC6DciZ97w6LOcYffKe5vehQ,@IAmShawnaJ,UC6DciZ97w6LOcYffKe5vehQ,1,4,1.0,0.0,0.0,0.9274,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,❤❤❤
UC6IAwm9xYtTtfmh1kRdmpnw,@nomirusso20,UC6IAwm9xYtTtfmh1kRdmpnw,1,0,7.0,0.0,4.0,0.8553,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,You look amazing! Thank you for sharing.
UC6J_mF3dGKlxnGdS-yWp-AQ,@tigerprincess11,UC6J_mF3dGKlxnGdS-yWp-AQ,1,6,11.0,0.0,0.0,-0.2023,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"Eh, I watched another review and it looked like a pain"
UC6hA4dzUbVZjCGhh3Ph2-tA,@kevinsantos9301,UC6hA4dzUbVZjCGhh3Ph2-tA,1,4,2.0,0.0,0.0,0.4588,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,anitta 😍
UC6lvtsvcyo_EWbeftDOvSpg,@dolcevita713,UC6lvtsvcyo_EWbeftDOvSpg,1,5,5.0,0.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Now dark to blonde example
UC6okeJOGk341D9kc_1nEBLA,@Jihene-x6i,UC6okeJOGk341D9kc_1nEBLA,1,7,2.0,0.0,0.0,0.941,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,OMG ESRAAAAA!!!!❤❤❤
